rs                       \eta                     K                        f_r                      f_p                      AUC                      AUPR                                                                                                                                               
5.999999999999999778e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.550677293946511215e-01 5.670304814587323605e-01
5.999999999999999778e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.564872257795387078e-01 5.786020940073288710e-01
5.999999999999999778e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.554386631077158576e-01 5.778477447718275428e-01
5.999999999999999778e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.539071288964094952e-01 5.707269075906559186e-01
5.999999999999999778e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.567316299868375840e-01 5.822928491907718440e-01
5.999999999999999778e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.564962878101885835e-01 5.911002973604791988e-01
5.999999999999999778e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.529193433111348144e-01 5.760899265015130277e-01
5.999999999999999778e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.558072386991558478e-01 5.898020679428374047e-01
5.999999999999999778e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.571739647280704810e-01 5.949751608742377407e-01
6.999999999999999556e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.543244743092909044e-01 5.658994626543714102e-01
6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.567406065844181740e-01 5.769147226900946945e-01
6.999999999999999556e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.556211994290467748e-01 5.770888097606480249e-01
6.999999999999999556e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.529967638096199511e-01 5.686565379771068018e-01
6.999999999999999556e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.566093370785881955e-01 5.823227325674449339e-01
6.999999999999999556e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.568509890530149109e-01 5.909924161016786304e-01
6.999999999999999556e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.515697734102163130e-01 5.701419727598397991e-01
6.999999999999999556e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.555533320849640688e-01 5.876309222378590658e-01
6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.574684578291361436e-01 5.956660541416388677e-01
8.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.535000964005841961e-01 5.645960383955765938e-01
8.000000000000000444e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.568665572819274878e-01 5.777205113165978512e-01
8.000000000000000444e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.558528801270483877e-01 5.770716440373571121e-01
8.000000000000000444e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.517473349034306640e-01 5.655595473070700319e-01
8.000000000000000444e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.562498302718485110e-01 5.831285247696909035e-01
8.000000000000000444e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.572675096521211513e-01 5.919248604941211855e-01
8.000000000000000444e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.499189008167541193e-01 5.667348315135217751e-01
8.000000000000000444e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 5.000000000000000000e+02 9.548625080581699676e-01 5.855266701068390089e-01
8.000000000000000444e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 5.000000000000000000e+02 9.578525786870482062e-01 5.956284949145013163e-01
5.999999999999999778e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.544072883524247208e-01 5.672544252232587514e-01
5.999999999999999778e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.559403518412838974e-01 5.780606079130750086e-01
5.999999999999999778e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 7.000000000000000000e+02 9.550973027871075827e-01 5.768527984833056177e-01
5.999999999999999778e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.535248889828378260e-01 5.713959151507966849e-01
5.999999999999999778e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.561517431154675783e-01 5.830220778312532603e-01
5.999999999999999778e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 7.000000000000000000e+02 9.563145422836850651e-01 5.896863744798476192e-01
5.999999999999999778e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.519104489333335417e-01 5.767902768431094618e-01
5.999999999999999778e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.558516127163736442e-01 5.905116167558617235e-01
5.999999999999999778e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 7.000000000000000000e+02 9.568198159817458137e-01 5.959050868562459913e-01
6.999999999999999556e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.537505428593412438e-01 5.665618353688944842e-01
6.999999999999999556e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.559979057789578238e-01 5.770242630848446685e-01
6.999999999999999556e-01 5.000000000000000000e-01 1.000000000000000000e+01 5.000000000000000000e+02 7.000000000000000000e+02 9.551933171098471176e-01 5.761112373042236445e-01
6.999999999999999556e-01 5.999999999999999778e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.517407564418168819e-01 5.707196137086877341e-01
6.999999999999999556e-01 5.999999999999999778e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.560878631947632433e-01 5.832747249637941778e-01
6.999999999999999556e-01 5.999999999999999778e-01 1.000000000000000000e+01 5.000000000000000000e+02 7.000000000000000000e+02 9.566999633903995326e-01 5.903370043747728779e-01
6.999999999999999556e-01 6.999999999999999556e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.502778804280533897e-01 5.704474995440615981e-01
6.999999999999999556e-01 6.999999999999999556e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.556358943940653772e-01 5.894620367190176458e-01
6.999999999999999556e-01 6.999999999999999556e-01 1.000000000000000000e+01 5.000000000000000000e+02 7.000000000000000000e+02 9.570360887014012219e-01 5.969586157160258200e-01
8.000000000000000444e-01 5.000000000000000000e-01 3.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.522133627576331305e-01 5.655142245433149029e-01
8.000000000000000444e-01 5.000000000000000000e-01 5.000000000000000000e+00 5.000000000000000000e+02 7.000000000000000000e+02 9.562721870566113225e-01 5.774018406005484438e-01
